Source,Merged
Amazon,"Ref2_2 - It’s not normal for a company of any size to be able to respond to something as discontinuous and unpredictable as this pandemic turned out to be. What is it about Amazon that made it possible for us to do so? It’s because we weren’t starting from a standing start. We had been iterating on and remaking our fulfillment capabilities for nearly two decades. In every business we pursue, we’re constantly experimenting and inventing. We’re divinely discontented with customer experiences, whether they’re our own or not. We believe these customer experiences can always be better, and we strive to make customers’ lives better and easier every day. The beauty of this mission is that you never run out of runway; customers always want better, and our job is both to listen to their feedback and to imagine what else is possible and invent on their behalf."
Amazon,"Ref2_3 - Our Fulfillment Network: Going back to the pandemic, there’s no way we could have started working on our fulfillment network in March 2020 and satisfied anything close to what our customers needed. We’d been innovating in our fulfillment network for 20 years, constantly trying to shorten the time to get items to customers. In the early 2000s, it took us an average of 18 hours to get an item through our fulfillment centers and on the right truck for shipment. Now, it takes us two. To deliver as reliably and cost-effectively as we desire, and to serve Amazon Prime members expecting shipments in a couple of days, we spent years building out an expansive set of fulfillment centers, a substantial logistics and transportation capability, and reconfigured how we did virtually everything in our facilities. For perspective, in 2004, we had seven fulfillment centers in the U.S. and four in other parts of the world, and we hadn’t yet added delivery stations, which connect our fulfillment and sortation centers to the last-mile delivery vans you see driving around your neighborhood. Fast forward to the end of 2021, we had 253 fulfillment centers, 110 sortation centers, and 467 delivery stations in North America, with an additional 157 fulfillment centers, 58 sortation centers, and 588 delivery stations across the globe. Our delivery network grew to more than 260,000 drivers worldwide, and our Amazon Air cargo fleet has more than 100 aircraft. This has represented a capital investment of over $100 billion and countless iterations and small process improvements by over a million Amazonians in the last decade and a half."
Amazon,"Ref2_4 - Ironically, just before COVID started, we’d made the decision to invest billions of incremental dollars over several years to deliver an increasing number of Prime shipments in one day. This initiative was slowed by the challenges of the pandemic, but we’ve since resumed our focus here. Delivering a substantial amount of shipments in one day is hard (especially across the millions of items that we offer) and initially expensive as we build out the infrastructure to scale this efficiently. But, we believe our over 200 million Prime customers, who will tell you very clearly that faster is almost always better, will love this. So, this capability to ship millions of items within a couple days (and increasingly one day) was not from one aha moment and not developed in a year or two. It’s been hard-earned by putting ourselves in the shoes of our customers, knowing what they wanted, organizing Amazonians to work together to invent better solutions, and investing a large amount of financial and people resources over 20 years (often well in advance of when it would pay out). This type of iterative innovation is never finished and has periodic peaks in investment years, but leads to better long-term customer experiences, customer loyalty, and returns for our shareholders."
Amazon,"Ref27_1 - This Annual Report on Form 10-K includes forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. All statements other than statements of historical fact, including statements regarding guidance, industry prospects, or future results of operations or financial position, made in this Annual Report on Form 10-K are forward- looking. We use words such as anticipates, believes, expects, future, intends, and similar expressions to identify forward- looking statements. Forward-looking statements reflect management’s current expectations and are inherently uncertain. Actual results and outcomes could differ materially for a variety of reasons, including, among others, fluctuations in foreign exchange rates, changes in global economic conditions and customer spending, inflation, labor market and global supply chain constraints, world events, the rate of growth of the Internet, online commerce, and cloud services, the amount that Amazon.com invests in new business opportunities and the timing of those investments, the mix of products and services sold to customers, the mix of net sales derived from products as compared with services, the extent to which we owe income or other taxes, competition, management of growth, potential fluctuations in operating results, international growth and expansion, the outcomes of claims, litigation, government investigations, and other proceedings, fulfillment, sortation, delivery, and data center optimization, risks of inventory management, variability in demand, the degree to which we enter into, maintain, and develop commercial agreements, proposed and completed acquisitions and strategic transactions, payments risks, and risks of fulfillment throughput and productivity. In addition, the global economic climate and additional or unforeseen effects from the COVID-19 pandemic amplify many of these risks. These risks and uncertainties, as well as other risks and uncertainties that could cause our actual results or outcomes to differ significantly from management’s expectations, are described in greater detail in Item 1A of Part I, “Risk Factors.”"
Amazon,"Ref31_1 - As reflected in the discussion below, ongoing direct and indirect impacts of the COVID-19 pandemic and actions taken in response to them had varying effects on our 2021 results of operations, although some effects, including customer demand, are mitigating or becoming more difficult to isolate or quantify. Moreover, it is not possible to determine the duration and scope of the pandemic, the scale and rate of economic recovery from the pandemic, any ongoing effects on consumer demand and spending patterns, supply chain disruptions, and labor availability and costs, or the impact of other indirect factors that may be attributable to the pandemic, and the extent to which these or other currently unanticipated consequences of the pandemic are reasonably likely to materially affect our results of operations. However, we expect our net sales growth rate to decelerate in Q1 2022 compared to the increase we experienced in Q1 2021. In addition, these direct and indirect factors can make it difficult to isolate and quantify the portion of our costs that are a direct result of the pandemic and costs arising from factors that may have been influenced by the pandemic, including increased wage rates and incentives, increased carrier rates, and fulfillment network inefficiencies resulting from constrained labor markets and global supply chain constraints. We expect these factors and their effects on our operations to continue into Q1 2022."
Amazon,"Ref35_1 - The increase in marketing costs in absolute dollars in 2021, compared to the prior year, is primarily due to higher marketing spend, which was constrained in 2020 in response to COVID-19, and increased payroll and related expenses for personnel engaged in marketing and selling activities."
Amazon,"Ref39_1 - We provided guidance on February 3, 2022, in our earnings release furnished on Form 8-K as set forth below. These forward-looking statements reflect Amazon.com’s expectations as of February 3, 2022, and are subject to substantial uncertainty. Our results are inherently unpredictable and may be materially affected by many factors, such as uncertainty regarding the impacts of the COVID-19 pandemic, fluctuations in foreign exchange rates, changes in global economic conditions and customer demand and spending, inflation, labor market and global supply chain constraints, world events, the rate of growth of the Internet, online commerce, and cloud services, as well as those outlined in Item 1A of Part I, “Risk Factors.” This guidance reflects our estimates as of February 3, 2022 regarding the impacts of the COVID-19 pandemic on our operations as well as the effect of other factors discussed above."
Apple,"Ref13_1 - The Company also produces its own digital content, which can be costly to produce due to intense and increasing competition for talent, content and subscribers, and may fail to appeal to the Company’s customers. The COVID-19 pandemic has also caused additional restrictions on production and increased costs for digital content."
Apple,"Ref15_1 - The Company’s retail stores have required substantial investment in equipment and leasehold improvements, information systems, inventory and personnel. The Company also has entered into substantial lease commitments for retail space. Certain stores have been designed and built to serve as high-profile venues to promote brand awareness. Because of their unique design elements, locations and size, these stores require substantially more investment than the Company’s more typical retail stores. Due to the high cost structure associated with the Company’s retail stores, a decline in sales or the closure or poor performance of an individual store or multiple stores, including as a result of protective public safety measures in response to the COVID-19 pandemic, could result in significant lease termination costs, write-offs of equipment and leasehold improvements and severance costs."
Apple,Ref22_1 - COVID-19 Update
Apple,"Ref22_2 - The COVID-19 pandemic has had, and continues to have, a significant impact around the world, prompting governments and businesses to take unprecedented measures, such as restrictions on travel and business operations, temporary closures of businesses, and quarantine and shelter-in-place orders. The COVID-19 pandemic has at times significantly curtailed global economic activity and caused significant volatility and disruption in global financial markets. The COVID-19 pandemic and the measures taken by many countries in response have affected and could in the future materially impact the Company’s business, results of operations and financial condition, as well as the price of the Company’s stock."
Apple,"Ref22_3 - During 2021, aspects of the Company’s business continued to be affected by the COVID-19 pandemic, with many of the Company’s retail stores, as well as channel partner points of sale, temporarily closed at various times, and a significant number of the Company’s employees working remotely. The Company has reopened all of its retail stores and substantially all of its other facilities, subject to operating restrictions to protect public health and the health and safety of employees and customers, and it continues to work on safely reopening the remainder of its facilities, subject to local rules and regulations. During the fourth quarter of 2021, certain of the Company’s component suppliers and logistical service providers experienced disruptions, resulting in supply shortages that affected sales worldwide. Similar disruptions could occur in the future."
Apple,"Ref22_4 - The extent of the continuing impact of the COVID-19 pandemic on the Company’s operational and financial performance is uncertain and will depend on many factors outside the Company’s control, including the timing, extent, trajectory and duration of the pandemic, the emergence of new variants, the development, availability, distribution and effectiveness of vaccines and treatments, the imposition of protective public safety measures, and the impact of the pandemic on the global economy and demand for consumer products. Refer to Part I, Item 1A of this Form 10-K under the heading “Risk Factors” for more information."
Apple,"Ref3_1 - This Annual Report on Form 10-K (“Form 10-K”) contains forward-looking statements, within the meaning of the Private Securities Litigation Reform Act of 1995, that involve risks and uncertainties. Many of the forward-looking statements are located in Part II, Item 7 of this Form 10-K under the heading “Management’s Discussion and Analysis of Financial Condition and Results of Operations.” Forward-looking statements provide current expectations of future events based on certain assumptions and include any statement that does not directly relate to any historical or current fact. For example, statements in this Form 10-K regarding the potential future impact of the COVID-19 pandemic on the Company’s business and results of operations are forward-looking statements. Forward-looking statements can also be identified by words such as “future,” “anticipates,” “believes,” “estimates,” “expects,” “intends,” “plans,” “predicts,” “will,” “would,” “could,” “can,” “may,” and similar terms. Forward-looking statements are not guarantees of future performance and the Company’s actual results may differ significantly from the results discussed in the forward-looking statements. Factors that might cause such differences include, but are not limited to, those discussed in Part I, Item 1A of this Form 10-K under the heading “Risk Factors.” The Company assumes no obligation to revise or update any forward-looking statements for any reason, except as required by law."
Apple,"Ref6_1 - The Company is committed to protecting its employees everywhere it operates. The Company identifies potential risks associated with workplace activities in order to develop measures to mitigate possible hazards. The Company supports employees with general safety training and puts specific programs in place for those working in potentially high-hazard environments, including chemical management, laser safety, equipment and machinery safety, hazardous materials management and electrical safety. The Company has taken additional measures during the COVID-19 pandemic, including providing information resources, testing, face masks and personal protective equipment, and case support. The Company also offers special sick leave for employees with possible COVID-19 symptoms, as well as comprehensive health coverage."
Apple,Ref8_1 - Risks Related to COVID-19
Apple,"Ref8_2 - The Company’s business, results of operations and financial condition, as well as the price of the Company’s stock, have been adversely affected and could in the future be materially adversely affected by the COVID-19 pandemic."
Apple,"Ref8_3 - COVID-19 has had, and continues to have, a significant impact around the world, prompting governments and businesses to take unprecedented measures in response. Such measures have included restrictions on travel and business operations, temporary closures of businesses, and quarantine and shelter-in-place orders. The COVID-19 pandemic has at times significantly curtailed global economic activity and caused significant volatility and disruption in global financial markets."
Apple,"Ref8_4 - The COVID-19 pandemic and the measures taken by many countries in response have adversely affected and could in the future materially adversely impact the Company’s business, results of operations and financial condition, as well as the price of the Company’s stock. During the course of the pandemic, certain of the Company’s component suppliers and manufacturing and logistical service providers have experienced disruptions, resulting in supply shortages that affected sales worldwide, and similar disruptions could occur in the future. The Company’s retail stores, as well as channel partner points of sale, have been temporarily closed at various times. In many cases, as stores and points of sale have reopened, they are subject to operating restrictions to protect public health and the health and safety of employees and customers. The Company has at times required substantially all of its employees to work remotely."
Apple,"Ref8_5 - The Company continues to monitor the situation and take appropriate actions in accordance with the recommendations and requirements of relevant authorities. The extent to which the COVID-19 pandemic may impact the Company’s operational and financial performance remains uncertain and will depend on many factors outside the Company’s control, including the timing, extent, trajectory and duration of the pandemic, the emergence of new variants, the development, availability, distribution and effectiveness of vaccines and treatments, the imposition of protective public safety measures, and the impact of the pandemic on the global economy and demand for consumer products. Additional future impacts on the Company may include, but are not limited to, material adverse effects on demand for the Company’s products and services, the Company’s supply chain and sales and distribution channels, the Company’s ability to execute its strategic plans, and the Company’s profitability and cost structure."
Apple,"Ref8_6 - To the extent the COVID-19 pandemic adversely affects the Company’s business, results of operations, financial condition and stock price, it may also have the effect of heightening many of the other risks described in this Part I, Item 1A of this Form 10-K."
Apple,"Ref9_1 - Many of the Company’s operations and facilities, as well as critical business operations of the Company’s suppliers and contract manufacturers, are in locations that are prone to earthquakes and other natural disasters. In addition, such operations and facilities are subject to the risk of interruption by fire, power shortages, nuclear power plant accidents and other industrial accidents, terrorist attacks and other hostile acts, ransomware and other cybersecurity attacks, labor disputes, public health issues, including pandemics such as the COVID-19 pandemic, and other events beyond the Company’s control. Global climate change is resulting in certain types of natural disasters occurring more frequently or with more intense effects. Such events can make it difficult or impossible for the Company to manufacture and deliver products to its customers, create delays and inefficiencies in the Company’s supply and manufacturing chain, and result in slowdowns and outages to the Company’s service offerings. Following an interruption to its business, the Company can require substantial recovery time, experience significant expenditures to resume operations, and lose significant sales. Because the Company relies on single or limited sources for the supply and manufacture of many critical components, a business interruption affecting such sources would exacerbate any negative consequences to the Company."
Apple,"Ref9_2 - The Company’s operations are also subject to the risks of industrial accidents at its suppliers and contract manufacturers. While the Company’s suppliers are required to maintain safe working environments and operations, an industrial accident could occur and could result in disruption to the Company’s business and harm to the Company’s reputation. Major public health issues, including pandemics such as the COVID-19 pandemic, have adversely affected, and could in the future adversely affect, the Company due to their impact on the global economy and demand for consumer products; the imposition of protective public safety measures, such as stringent employee travel restrictions and limitations on freight services and the movement of products between regions; and disruptions in the Company’s supply chain and sales and distribution channels, resulting in interruptions of the supply of current products and delays in production ramps of new products."
IBM,Ref10_1 - The spending environment continued to improve throughout the year despite additional waves of the pandemic. From an industry
IBM,"Ref10_2 - standpoint, we have seen meaningful improvement in areas most affected by the pandemic such as travel, transportation,"
IBM,Ref12_1 - pandemic and extends through the core mission-critical business processes of almost all large enterprises. Successful digital
IBM,"Ref16_1 - pandemic years (2020 and 2021) was still lower than the previous two years (2018 and 2019). In 2021, we added skills in consulting"
IBM,Ref17_1 - continued to face the COVID-19 pandemic. We have a robust case management system to manage COVID-19 exposures and a
IBM,Ref17_2 - employees who are fully vaccinated against COVID-19 can access IBM workplaces.
IBM,"Ref17_3 - Additionally, from the outset of the COVID-19 pandemic, IBM has focused on mental health and supporting our employees for the long"
IBM,Ref17_4 - and address mental health issues and financial counseling offerings tailored to pandemic-related matters. Employees are supported
IBM,"Ref23_1 - specific and general reserves in the current year compared to increases in the prior year. In the prior year, the global pandemic resulted"
IBM,Ref27_1 - macroeconomic environment since the beginning of the pandemic in 2020. The majority of the write-offs during the year related to
IBM,Ref29_1 - COVID-19; and
IBM,"Ref3_1 - A client-centric culture Our efforts have been designed to accelerate the delivery of value to our clients and partners, part of a larger cultural shift at IBM toward total client-centricity. We believe that IBM has a unique ability to solve our clients’ most pressing business problems, bringing together all the necessary hardware, software, and consulting, regardless of whether those solutions come from   IBM or our ecosystem partners. We are seeing high demand for our capabilities in many areas. Clients want to automate as many business tasks as possible given the current workforce dynamics. They are increasingly using AI and predictive capabilities to improve their supply chains. Security remains a major focus area, as the cost of cybercrime continues to rise. As clients deal with these challenges and opportunities, they are looking for a trusted partner with a   proven track record of delivering strategic transformation. For example, we are helping Spain’s Telefónica to modernize its network platform, combining the potential of 5G with the customization and intelligence of hybrid cloud. National Grid,  a leading US electric and gas utility, is working with IBM  and Boston Dynamics to analyze data at the edge in real time  to improve equipment uptime and prevent power outages.  The Australian federal government is working with IBM on  the technology platform that powers the country’s COVID-19 vaccination program. And IBM Consulting and PNC Bank partnered on a next-generation solution that allows customers  to make banking decisions based on real-time data—a massive  change for the banking industry. This client-first, problem-solving approach is the reason why our client renewal rates are increasing and our recurring revenue base is growing. It is the reason why longtime clients like CVS, Verizon, and Anthem continue to put their trust in our people and our technology. And it is the reason why we now have more than 3,800 hybrid cloud platform clients and nearly 3,000 clients co-creating in IBM Garages."
IBM,Ref38_1 - returns of $5.8 billion in dividends. With the unprecedented COVID-19 pandemic and macroeconomic uncertainty beginning in
IBM,Ref39_1 - travel and other expenses associated with COVID-19 restrictions. Total operating (non-GAAP) expense and other (income) increased
IBM,"Ref41_1 - compared to the prior year. With the macroeconomic environment due to the COVID-19 pandemic, clients focused on near-term"
IBM,"Ref41_2 - prior year. As the global pandemic intensified through the year, we aligned our offerings to help clients focus on engaging customers"
IBM,Ref44_1 - associated with COVID-19 restrictions. Total operating (non-GAAP) expense and other (income) increased 15.5 percent year to
IBM,Ref44_2 - partially offset by spending reductions associated with COVID-19 restrictions;
IBM,"Ref49_1 - deferred in relation to COVID-19 government relief programs also contributed to the year-to-year decline. In 2021, we continued to"
IBM,Ref51_1 - The macroeconomic impacts of the COVID-19 pandemic did not have a material impact on our critical accounting estimates reflected
IBM,"Ref51_2 - pandemic, our estimates may change materially in future periods."
IBM,Ref69_1 - the COVID-19 pandemic. Actual results may be different from these estimates.
IBM,Ref9_1 - Global Pandemic
IBM,"Ref9_2 - On March 11, 2020, the World Health Organization (WHO) declared the novel coronavirus (COVID-19) a global pandemic which"
IBM,"Ref9_3 - As we managed through the second year of the pandemic, the health of IBM employees, our clients, business partners and"
Meta,"Ref12_1 - • Engagement with the Department of Treasury, the U.S. Federal Reserve and the Office of the Comptroller of the Currency, in support of our ongoing role in the management and delivery of federal EIP funds, a key part of the government’s COVID-19 relief program."
Meta,"Ref27_1 - Netspend’s Prepaid Debit card offers financial access to all. With no credit checks and no credit history required, anyone can gain access to the convenience of digital payments. This young woman got a job right away, opened a Netspend account and was able to setup direct deposit, which enabled easy rent and bill payments. In a time of increased online spending due to the pandemic, she is now included in the digital financial system."
Meta,"Ref28_1 - We had four active ERGs at Meta in FY21. Twenty-three percent of our employee population participated in one or more ERG in 2021, a strong level of support for a program that was significantly rebuilt after it languished in the early months of the pandemic when we first moved to a largely remote work environment."
Meta,Ref30_1 - COVID-19 Pandemic Response
Meta,"Ref30_2 - In response to the COVID-19 pandemic, we enabled our employees to work from home productively by providing equipment, communications technology and monthly stipends for office supplies, and updated our meeting protocols. While we have offices in 11 states, our Talent Anywhere strategy enabled employees to work from 38 states, the District of Columbia and Ontario, Canada, as of September 30, 2021. We are fortunate in that no layoffs, furloughs or salary adjustments have been imposed due to COVID-19. Our support for the community and our business partners during the pandemic continues through our various business and community impact endeavors."
Meta,"Ref32_1 - Complementing the new program structure is a Community Impact Portal, through which employees can search for volunteer opportunities, organize volunteer events, track their participation and make charitable donations. Having this interactive platform has helped us offset challenges associated with in-person activities during the pandemic and led to creative staging of many virtual volunteer events."
Meta,"Ref37_1 - At the end of 2021, Meta employees were located in 38 states, plus the District of Columbia and in Ontario, Canada. An added benefit of our Talent Anywhere recruitment strategy is that as the proportion of our team who are working remotely grows, our need for physical office space decreases. We reduced our physical office footprint from 340,000 square feet to 271,000 square feet in calendar year 2021. The combination of employees working from home due to our Talent Anywhere strategy and in response to the pandemic also results in lower greenhouse gas emissions associated with employees’ commutes."
Meta,"Ref38_1 - Our strong relationship with Crestmark enabled the build and launch of this sizeable portfolio. Despite the myriad challenges presented by the pandemic, we worked collaboratively with them to successfully launch these projects, furthering the proliferation of clean energy throughout the U.S.”"
Meta,Ref4_1 - MetaBank was the sole financial agent for distributing prepaid debit cards in the second and third rounds of the Economic Impact Payments (EIP) program offered by the federal government for COVID-19 relief in the U.S.
Meta,"Ref5_1 - An important highlight in 2021, as it was in 2020, was our leadership role in working with the Department of Treasury in the management and delivery of Economic Impact Payments (EIP), a key piece of federal COVID-19 relief. Last year alone, we distributed nearly 13 million prepaid cards for a total of more than $17.5 billion in EIP payments."
Microsoft,"Ref32_1 - Adverse economic or market conditions may harm our business. Worsening economic conditions, including inflation, recession, pandemic, or other changes in economic conditions, may cause lower IT spending and adversely affect our revenue. If demand for PCs, servers, and other computing devices declines, or consumer or business spending for those products declines, our revenue will be adversely affected."
Microsoft,"Ref33_1 - Catastrophic events or geopolitical conditions may disrupt our business. A disruption or failure of our systems or operations because of a major earthquake, weather event, cyberattack, terrorist attack, pandemic, or other catastrophic event could cause delays in completing sales, providing services, or performing other critical functions. Our corporate headquarters, a significant portion of our research and development activities, and certain other essential business operations are in the Seattle, Washington area, and we have other business operations in the Silicon Valley area of California, both of which are seismically active regions. A catastrophic event that results in the destruction or disruption of any of our critical business or IT systems, or the infrastructure or systems they rely on, such as power grids, could harm our ability to conduct normal business operations. Providing our customers with more services and solutions in the cloud puts a premium on the resilience of our systems and strength of our business continuity management plans and magnifies the potential impact of prolonged service outages in our consolidated financial statements."
Microsoft,"Ref33_2 - The occurrence of regional epidemics or a global pandemic may adversely affect our operations, financial condition, and results of operations. The COVID-19 pandemic continues to have widespread, rapidly evolving, and unpredictable impacts on global society, economies, financial markets, and business practices. Federal and state governments have implemented measures to contain the virus, including social distancing, travel restrictions, and vaccination programs. Even as efforts to contain the pandemic have made progress and some restrictions have relaxed, new variants of the virus are causing additional outbreaks. The COVID-19 pandemic has impacted and may continue to impact our business operations, including our employees, customers, partners, and communities, and there is substantial uncertainty in the nature and degree of its continued effects over time."
Microsoft,"Ref33_3 - The extent to which the COVID-19 pandemic impacts our business going forward will depend on numerous evolving factors we cannot reliably predict, including the duration and scope of the pandemic; governmental, business, and individuals' actions in response to the pandemic; and the impact on economic activity including the possibility of recession or financial market instability. These factors may adversely impact consumer, business, and government spending on technology as well as customers' ability to pay for our products and services on an ongoing basis. This uncertainty also affects management’s accounting estimates and assumptions, which could result in greater variability in a variety of areas that depend on these estimates and assumptions, including investments, receivables, and forward- looking guidance."
Microsoft,"Ref38_1 - As the world continues to respond to COVID-19, we are working to do our part by ensuring the safety of our employees, striving to protect the health and well-being of the communities in which we operate, and providing technology and resources to our customers to help them do their best work while remote."
Microsoft,Ref39_1 - COVID-19
